"filename", "language", "JavaScript", "JavaScript React", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\CatHomes\News.jsx", "JavaScript React", 0, 100, 0, 0, 0, 0, 0, 6, 106
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\CatHomes\Subscribe.css", "CSS", 0, 0, 55, 0, 0, 0, 0, 5, 60
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\CatHomes\Subscribe.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\CatHomes\homes.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 2, 103
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Contact\Contact.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 18
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Contact\Contact.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Contact\ContactForm.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 4, 51
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Contact\ContactForm.jsx", "JavaScript React", 0, 113, 0, 0, 0, 0, 0, 12, 125
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Contact\ThankPage.css", "CSS", 0, 0, 55, 0, 0, 0, 0, 4, 59
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Contact\ThankPage.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Exhibition\Exhibition.css", "CSS", 0, 0, 34, 0, 0, 0, 0, 0, 34
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Exhibition\Exhibition.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 8, 57
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Exhibition\library.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 2, 24
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\semester 1\student-Jiaqi9972\final\final\src\Main\Main.jsx", "JavaScript React", 0, 16, 0, 0, 0, 0, 0, 3, 19
"d:\semester 1\student-Jiaqi9972\final\final\src\Overlay.jsx", "JavaScript React", 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\semester 1\student-Jiaqi9972\final\final\src\index.css", "CSS", 0, 0, 14, 0, 0, 0, 0, 2, 16
"d:\semester 1\student-Jiaqi9972\final\final\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 3, 18
"d:\semester 1\student-Jiaqi9972\final\final\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\semester 1\student-Jiaqi9972\final\final\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 197, 976, 1173, 38, 29130, 21, 32, 291, 31858
